file01  59789454e908906ac86ba79f  4  26  VA  VV
file01  59789454e908906ac86ba79f  14  18  XSN  NNG
file01  59789454e908906ac86ba79f  15  5  NNG  NNP
file01  59789454e908906ac86ba79f  16  4  NNG  NNP
file01  59789454e908906ac86ba79f  28  6  EC  EF
file03  59789456e908906ac86ba7a1  2  11  NNP  NNG
file03  59789456e908906ac86ba7a1  15  59  XSN  NNG
file05  59789457e908906ac86ba7a3  3  0  NNP  NNG
file05  59789457e908906ac86ba7a3  7  25  XSN  NNG
file05  59789457e908906ac86ba7a3  9  7  JKB  JC
file05  59789457e908906ac86ba7a3  11  0  NNP  NNG
file05  59789457e908906ac86ba7a3  11  3  NNP  NNG
file05  59789457e908906ac86ba7a3  15  0  NNP  NNG
file05  59789457e908906ac86ba7a3  16  0  NNP  NNG
file05  59789457e908906ac86ba7a3  18  28  XSN  NNG
file05  59789457e908906ac86ba7a3  20  0  NNP  NNG
file05  59789457e908906ac86ba7a3  21  10  NNG  NNP
file05  59789457e908906ac86ba7a3  22  9  NNP  NNG
file05  59789457e908906ac86ba7a3  23  7  NNP  NNG
file05  59789457e908906ac86ba7a3  25  0  NNP  NNG
file05  59789457e908906ac86ba7a3  27  0  NNP  NNG
file05  59789457e908906ac86ba7a3  27  38  XSN  NNG
file05  59789457e908906ac86ba7a3  27  72  XSN  NNG
